Howald Florian;WorldCup #4-Men Selection (MS);SUI;2653;0.98153;112,50,99,26,83,119,54,61,31,179,55,43,65,141,114,293,35,44,145,58,199,79,266,50,72,109,60,11;1.04166666666667,1.02666666666667,1.01683501683502,1.03846153846154,1.01204819277108,0.988795518207283,0.932098765432099,0.863387978142076,0.956989247311828,0.886405959031657,0.987878787878788,0.914728682170543,0.882051282051282,1.02364066193853,0.950292397660819,1.01592718998862,0.99047619047619,0.962121212121212,0.963218390804598,0.908045977011494,0.981574539363484,1.0295358649789,1.031328320802,1.02,0.990740740740741,0.972477064220184,0.938888888888889,0.818181818181818;28;28
Huber Raffael;WorldCup #4-Men Selection (MS);SUI;2672;0.97455;122,52,105,28,90,116,48,52,30,184,67,42,63,139,104,293,34,46,150,58,189,93,275,51,70,107,55,9;0.956284153005465,0.987179487179487,0.958730158730159,0.964285714285714,0.933333333333333,1.01436781609195,1.04861111111111,1.01282051282051,0.988888888888889,0.86231884057971,0.810945273631841,0.936507936507937,0.91005291005291,1.03836930455635,1.04166666666667,1.01592718998862,1.01960784313725,0.920289855072464,0.931111111111111,0.908045977011494,1.03350970017637,0.874551971326165,0.997575757575758,1,1.01904761904762,0.990654205607477,1.02424242424242,1;28;28
Mathys Jonas;WorldCup #4-Men Selection (MS);SUI;2788;0.93400;122,59,106,28,88,120,53,52,65,147,57,46,57,165,127,323,36,46,146,56,198,88,290,61,76,108,58,10;0.956284153005465,0.870056497175141,0.949685534591195,0.964285714285714,0.954545454545455,0.980555555555556,0.949685534591195,1.01282051282051,0.456410256410256,1.07936507936508,0.953216374269006,0.855072463768116,1.00584795321637,0.874747474747475,0.853018372703412,0.92156862745098,0.962962962962963,0.920289855072464,0.95662100456621,0.94047619047619,0.986531986531987,0.924242424242424,0.945977011494253,0.836065573770492,0.93859649122807,0.981481481481482,0.971264367816092,0.9;28;28
Hodel Thomas;WorldCup #4-Men Selection (MS);SUI;2830;0.92014;129,55,104,27,89,122,60,82,31,163,59,47,69,153,124,310,36,46,149,52,207,94,298,55,82,115,62,10;0.904392764857881,0.933333333333333,0.967948717948718,1,0.943820224719101,0.96448087431694,0.838888888888889,0.642276422764228,0.956989247311828,0.973415132924335,0.92090395480226,0.836879432624114,0.830917874396135,0.943355119825708,0.873655913978495,0.960215053763441,0.962962962962963,0.920289855072464,0.937360178970917,1.01282051282051,0.943639291465379,0.865248226950355,0.920581655480984,0.927272727272727,0.869918699186992,0.921739130434783,0.908602150537634,0.9;28;28
Brändli Simon;WorldCup #4-Men Selection (MS);SUI;2835;0.91852;120,54,101,29,83,131,64,54,32,187,106,48,58,174,111,307,35,40,139,51,209,82,282,65,74,119,70,10;0.972222222222222,0.950617283950617,0.996699669966997,0.931034482758621,1.01204819277108,0.89821882951654,0.786458333333333,0.975308641975309,0.927083333333333,0.848484848484848,0.512578616352201,0.819444444444445,0.988505747126437,0.829501915708812,0.975975975975976,0.969598262757872,0.99047619047619,1.05833333333333,1.00479616306954,1.03267973856209,0.934609250398724,0.991869918699187,0.972813238770685,0.784615384615385,0.963963963963964,0.890756302521008,0.804761904761905,0.9;28;28
Rüedlinger Andreas;WorldCup #4-Men Selection (MS);SUI;2887;0.90197;124,55,102,28,87,118,67,58,59,208,54,47,97,162,131,312,36,44,135,56,239,84,288,52,72,104,58,10;0.940860215053763,0.933333333333333,0.986928104575163,0.964285714285714,0.96551724137931,0.997175141242938,0.751243781094527,0.908045977011494,0.502824858757062,0.762820512820513,1.00617283950617,0.836879432624114,0.59106529209622,0.890946502057613,0.826972010178117,0.954059829059829,0.962962962962963,0.962121212121212,1.03456790123457,0.94047619047619,0.817294281729428,0.968253968253968,0.952546296296296,0.980769230769231,0.990740740740741,1.01923076923077,0.971264367816092,0.9;28;28
Hägler Kaspar;WorldCup #4-Men Selection (MS);SUI;2940;0.88571;118,61,107,28,100,136,55,58,33,169,84,38,57,164,110,333,36,46,155,63,233,86,346,55,74,115,69,11;0.988700564971751,0.841530054644809,0.940809968847352,0.964285714285714,0.84,0.865196078431373,0.915151515151515,0.908045977011494,0.898989898989899,0.938856015779093,0.646825396825397,1.03508771929825,1.00584795321637,0.880081300813008,0.984848484848485,0.893893893893894,0.962962962962963,0.920289855072464,0.901075268817204,0.835978835978836,0.838340486409156,0.945736434108527,0.792870905587668,0.927272727272727,0.963963963963964,0.921739130434783,0.816425120772947,0.818181818181818;28;28
Lombriser Stefan;WorldCup #4-Men Selection (MS);SUI;2965;0.87825;121,59,108,46,94,130,58,64,30,193,55,45,61,167,117,328,37,82,149,66,218,85,315,56,101,112,59,9;0.964187327823692,0.870056497175141,0.932098765432099,0.58695652173913,0.893617021276596,0.905128205128205,0.867816091954023,0.822916666666667,0.988888888888889,0.822107081174439,0.987878787878788,0.874074074074074,0.939890710382514,0.864271457085828,0.925925925925926,0.907520325203252,0.936936936936937,0.516260162601626,0.937360178970917,0.797979797979798,0.896024464831804,0.956862745098039,0.870899470899471,0.910714285714286,0.706270627062706,0.946428571428571,0.954802259887006,1;28;28
Merz Jonas;WorldCup #4-Men Selection (MS);SUI;3005;0.86656;126,61,114,31,99,130,64,62,35,186,58,41,67,177,130,310,43,64,154,68,217,117,304,72,80,122,62,11;0.925925925925926,0.841530054644809,0.883040935672515,0.870967741935484,0.848484848484849,0.905128205128205,0.786458333333333,0.849462365591398,0.847619047619048,0.853046594982079,0.936781609195402,0.959349593495935,0.855721393034826,0.815442561205273,0.833333333333333,0.960215053763441,0.806201550387597,0.661458333333333,0.906926406926407,0.774509803921569,0.900153609831029,0.695156695156695,0.902412280701754,0.708333333333333,0.891666666666667,0.868852459016393,0.908602150537634,0.818181818181818;28;28
Wägeli Patrik;WorldCup #4-Men Selection (MS);SUI;3026;0.86054;141,59,125,28,97,189,77,66,38,189,73,59,65,169,148,326,41,44,153,55,202,85,291,59,75,107,56,9;0.8274231678487,0.870056497175141,0.805333333333333,0.964285714285714,0.865979381443299,0.622574955908289,0.653679653679654,0.797979797979798,0.780701754385965,0.839506172839506,0.744292237442922,0.666666666666667,0.882051282051282,0.854043392504931,0.731981981981982,0.913087934560327,0.845528455284553,0.962121212121212,0.912854030501089,0.957575757575758,0.966996699669967,0.956862745098039,0.942726231386025,0.864406779661017,0.951111111111111,0.990654205607477,1.00595238095238,1;28;28
