Weltzien Tyrving IL Audun;-H21-Finale_splits;;2149;0.98490;127,161,82,50,119,341,93,75,59,64,17,133,23,30,150,31,100,57,47,34,144,48,77,39,48;1.01717967072298,0.936758893280632,1.0410199556541,1,0.714285714285714,1.04985337243402,1.08406647116325,0.835151515151515,0.987673343605547,0.873579545454545,1.03743315508021,1.09022556390977,1.06324110671937,1.08484848484848,1.05090909090909,1.01466275659824,1.09818181818182,1.07974481658692,1.01160541586074,0.997326203208556,0.695707070707071,1.09848484848485,1.06375442739079,0.986013986013986,0.952651515151515;25;25
 Baptiste Rollier Kristiansand OK;-H21-Finale_splits;;2151;0.98398;136,145,84,52,110,351,95,59,55,56,18,144,26,33,157,31,117,77,44,32,113,56,80,35,45;0.949866310160428,1.04012539184953,1.01623376623377,0.961538461538462,0.772727272727273,1.01994301994302,1.06124401913876,1.06163328197226,1.0595041322314,0.998376623376623,0.97979797979798,1.00694444444444,0.940559440559441,0.986225895316804,1.00405327156919,1.01466275659824,0.938616938616939,0.799291617473436,1.08057851239669,1.05965909090909,0.886564762670957,0.941558441558442,1.02386363636364,1.0987012987013,1.01616161616162;25;25
 Anders Nordberg Halden SK;-H21-Finale_splits;;2169;0.97582;123,153,99,47,81,362,117,74,61,57,18,162,29,31,159,30,102,64,50,37,93,52,83,37,48;1.05025868440503,0.985739750445633,0.862258953168044,1.06382978723404,1.04938271604938,0.988950276243094,0.861693861693862,0.846437346437346,0.955290611028316,0.980861244019139,0.97979797979798,0.895061728395062,0.843260188087774,1.04985337243402,0.991423670668954,1.04848484848485,1.07664884135472,0.961647727272727,0.950909090909091,0.916461916461916,1.0772238514174,1.01398601398601,0.986856516976999,1.03931203931204,0.952651515151515;25;25
 Håvard Lucasen Ås-UMB Orientering;-H21-Finale_splits;;2184;0.96911;131,151,89,64,83,346,102,63,57,57,18,142,29,35,156,33,122,98,47,35,103,59,75,42,47;0.986120749479528,0.998795906080674,0.959141981613892,0.78125,1.02409638554217,1.03468208092486,0.988413547237077,0.994227994227994,1.02232854864434,0.980861244019139,0.97979797979798,1.02112676056338,0.843260188087774,0.92987012987013,1.01048951048951,0.953168044077135,0.900149031296572,0.628014842300557,1.01160541586074,0.968831168831169,0.972639011473963,0.893682588597843,1.09212121212121,0.915584415584416,0.972920696324952;25;25
 Øystein Kvaal Østerbø Wing OK;-H21-Finale_splits;;2213;0.95641;142,146,88,57,91,369,115,64,58,53,19,161,30,37,151,34,113,63,49,35,106,51,92,41,48;0.909731113956466,1.03300124533001,0.970041322314049,0.87719298245614,0.934065934065934,0.970189701897019,0.876679841897233,0.978693181818182,1.00470219435737,1.0548885077187,0.92822966507177,0.900621118012422,0.815151515151515,0.87960687960688,1.04394942805539,0.925133689839572,0.97184231697506,0.976911976911977,0.970315398886827,0.968831168831169,0.945111492281304,1.03386809269162,0.890316205533597,0.937915742793792,0.952651515151515;25;25
 Holger Hott Kristiansand OK;-H21-Finale_splits;;2241;0.94446;132,160,89,52,108,362,106,82,61,64,23,153,31,34,167,31,109,66,51,34,93,60,83,41,49;0.978650137741047,0.942613636363636,0.959141981613892,0.961538461538462,0.787037037037037,0.988950276243094,0.951114922813036,0.763858093126386,0.955290611028316,0.873579545454545,0.766798418972332,0.947712418300654,0.788856304985337,0.957219251336898,0.94393032117583,1.01466275659824,1.00750625521268,0.932506887052342,0.932263814616756,0.997326203208556,1.0772238514174,0.878787878787879,0.986856516976999,0.937915742793792,0.933209647495362;25;25
 Stig Alvestad Wing OK;-H21-Finale_splits;;2297;0.92144;158,149,100,57,93,367,108,67,64,56,21,154,27,39,176,34,117,72,48,33,110,58,91,54,44;0.817606444188723,1.01220256253813,0.853636363636364,0.87719298245614,0.913978494623656,0.975476839237057,0.933501683501683,0.934871099050203,0.910511363636364,0.998376623376623,0.83982683982684,0.941558441558442,0.905723905723906,0.834498834498835,0.895661157024793,0.925133689839572,0.938616938616939,0.85479797979798,0.990530303030303,1.02754820936639,0.910743801652893,0.909090909090909,0.9000999000999,0.712121212121212,1.03925619834711;25;25
 Øystein Pettersen Kristiansand OK;-H21-Finale_splits;;2300;0.92024;128,180,106,61,150,371,102,61,56,57,17,143,23,32,166,31,115,71,50,36,105,57,85,41,56;1.00923295454545,0.837878787878788,0.805317324185249,0.819672131147541,0.566666666666667,0.964959568733154,0.988413547237077,1.02682563338301,1.04058441558442,0.980861244019139,1.03743315508021,1.01398601398601,1.06324110671937,1.01704545454545,0.949616648411829,1.01466275659824,0.954940711462451,0.866837387964149,0.950909090909091,0.941919191919192,0.954112554112554,0.925039872408293,0.963636363636364,0.937915742793792,0.816558441558442;25;25
 Jostein Andersen Kristiansand OK;-H21-Finale_splits;;2308;0.91705;148,172,88,53,76,370,115,63,61,59,18,149,38,35,165,34,129,111,50,37,99,54,89,41,54;0.872850122850123,0.876849894291755,0.970041322314049,0.943396226415094,1.11842105263158,0.967567567567568,0.876679841897233,0.994227994227994,0.955290611028316,0.947611710323575,0.97979797979798,0.973154362416107,0.643540669856459,0.92987012987013,0.955371900826446,0.925133689839572,0.851303735024665,0.554463554463554,0.950909090909091,0.916461916461916,1.0119375573921,0.976430976430976,0.920326864147089,0.937915742793792,0.846801346801347;25;25
 Bjørn Eriksen Halden SK;-H21-Finale_splits;;2311;0.91586;141,164,96,64,80,391,119,71,64,63,17,154,30,34,163,33,127,61,50,38,108,57,91,40,55;0.916183107672469,0.919623059866962,0.889204545454545,0.78125,1.0625,0.915601023017903,0.847211611917494,0.882202304737516,0.910511363636364,0.887445887445887,1.03743315508021,0.941558441558442,0.815151515151515,0.957219251336898,0.967094255437814,0.953168044077135,0.86471009305655,1.00894187779434,0.950909090909091,0.892344497607655,0.927609427609428,0.925039872408293,0.9000999000999,0.961363636363636,0.831404958677686;25;25
