Weltzien Tyrving IL Audun;-H21_H1_splits;;1257;1.01889;52,58,63,32,195,89,69,145,36,143,81,61,66,82,38,29,18;1.03125,1.03448275862069,0.932539682539683,1.125,1.08525641025641,1.06039325842697,0.882246376811594,1.04396551724138,1.02430555555556,1.05244755244755,0.983024691358025,1.07377049180328,0.876893939393939,1.03658536585366,0.990131578947368,0.918103448275862,0.805555555555556;17;17
 Baptiste Rollier Kristiansand OK;-H21_H1_splits;;1276;1.00372;54,60,55,36,203,98,57,164,36,151,70,67,65,77,38,30,15;0.993055555555556,1,1.06818181818182,1,1.04248768472906,0.963010204081633,1.06798245614035,0.923018292682927,1.02430555555556,0.996688741721854,1.1375,0.977611940298508,0.890384615384615,1.1038961038961,0.990131578947368,0.8875,0.966666666666667;17;17
 Audun Bjerkreim Nilsen Kristiansand OK;-H21_H1_splits;;1355;0.94520;55,63,61,40,225,89,66,160,38,166,89,66,60,91,41,27,18;0.975,0.952380952380952,0.963114754098361,0.9,0.940555555555556,1.06039325842697,0.922348484848485,0.94609375,0.970394736842105,0.906626506024096,0.894662921348315,0.992424242424242,0.964583333333333,0.934065934065934,0.917682926829268,0.986111111111111,0.805555555555556;17;17
 Anders Nordberg Halden SK;-H21_H1_splits;;1379;0.92875;55,59,68,79,215,114,62,152,36,181,70,63,59,83,37,30,16;0.975,1.01694915254237,0.863970588235294,0.455696202531646,0.984302325581395,0.827850877192982,0.981854838709677,0.995888157894737,1.02430555555556,0.831491712707182,1.1375,1.03968253968254,0.980932203389831,1.02409638554217,1.01689189189189,0.8875,0.90625;17;17
 Øystein Kristiansen Nordreisa IL;-H21_H1_splits;;1386;0.92406;52,61,61,38,209,116,58,196,40,142,91,83,63,90,43,28,15;1.03125,0.983606557377049,0.963114754098361,0.947368421052632,1.01255980861244,0.813577586206897,1.04956896551724,0.772321428571429,0.921875,1.05985915492958,0.875,0.789156626506024,0.918650793650794,0.944444444444444,0.875,0.950892857142857,0.966666666666667;17;17
 Anders Tiltnes Tyrving IL;-H21_H1_splits;;1419;0.90257;58,66,65,39,227,107,68,148,62,166,96,80,62,91,38,29,17;0.924568965517241,0.909090909090909,0.903846153846154,0.923076923076923,0.93226872246696,0.882009345794392,0.895220588235294,1.02280405405405,0.594758064516129,0.906626506024096,0.829427083333333,0.81875,0.933467741935484,0.934065934065934,0.990131578947368,0.918103448275862,0.852941176470588;17;17
 Bjørn Eriksen Halden SK;-H21_H1_splits;;1427;0.89751;62,60,58,36,222,108,70,167,39,164,97,104,59,92,45,27,17;0.86491935483871,1,1.01293103448276,1,0.953265765765766,0.873842592592593,0.869642857142857,0.906437125748503,0.94551282051282,0.917682926829268,0.820876288659794,0.629807692307692,0.980932203389831,0.923913043478261,0.836111111111111,0.986111111111111,0.852941176470588;17;17
 David Løver Modum OL;-H21_H1_splits;;1439;0.89003;75,66,62,86,224,99,69,171,40,143,78,71,64,96,46,32,17;0.715,0.909090909090909,0.94758064516129,0.418604651162791,0.944754464285714,0.953282828282828,0.882246376811594,0.885233918128655,0.921875,1.05244755244755,1.02083333333333,0.922535211267606,0.904296875,0.885416666666667,0.817934782608696,0.83203125,0.852941176470588;17;17
 Eivind Resser Kongsberg OL;-H21_H1_splits;;1470;0.87126;66,65,63,50,227,102,65,162,46,177,90,126,61,90,41,25,14;0.8125,0.923076923076923,0.932539682539683,0.72,0.93226872246696,0.925245098039216,0.936538461538462,0.934413580246914,0.801630434782609,0.850282485875706,0.884722222222222,0.51984126984127,0.948770491803279,0.944444444444444,0.917682926829268,1.065,1.03571428571429;17;17
 Dag Aalvik Grane IK;-H21_H1_splits;;1474;0.86889;62,71,62,39,219,133,71,182,44,199,86,69,61,95,37,28,16;0.86491935483871,0.845070422535211,0.94758064516129,0.923076923076923,0.966324200913242,0.709586466165414,0.857394366197183,0.831730769230769,0.838068181818182,0.756281407035176,0.925872093023256,0.949275362318841,0.948770491803279,0.894736842105263,1.01689189189189,0.950892857142857,0.90625;17;17
